subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
physics,12,1,"Electric Charge: Properties, Quantisation and Charging",b,field_lines,widget,none_symbolic,high,"All ten chunks are q=ne definitions, charging procedures in prose, worked electron-count numericals and MCQs; no figure is named or referenced.",0.7486
physics,12,1,Coulomb's Law and Electric Forces,b,field_lines,widget,gap_charge_force_vectors,high,"Chunks 6, 9, 10 are full figure blocks: Fig 1.1 force arrows on two point charges, Fig 1.2 equilateral-triangle resultant, Fig 1.3 rod element dF.",0.7237
physics,12,1,Equilibrium of Charges,b,field_lines,widget,none_symbolic,med,"Nine of ten chunks are Addendum-F algebra (spring-block, three-charge line, image charges) and numerics; only a trailing Fig 1.2 caption appears.",0.6005
physics,12,1,Electric Field,b,field_lines,widget,gap_dipole_field_geometry,med,"Chunks 3, 6, 7, 10 carry Fig 1.4/1.5/1.6 captions resolving E+ and E- at point P; field_lines has no dipole-vector-geometry configuration.",0.6036
physics,12,1,Electric Field Lines,b,field_lines,widget,none_symbolic,low,"PASSES DISAGREED (A=gap_dipole_field_geometry, B=none_symbolic); demoted. Retrieval returns dipole derivation figures (1.4-1.6) and Fig 1.13 sheets plus one cheat-sheet bullet; no field-line map figure is actually described.",0.5913
physics,12,1,Motion of a Charged Particle in a Uniform Electric Field,b,field_lines,widget,none_symbolic,low,"Retrieval is off-topic: semicircular-arc and disc integration (Fig 1.8/1.9), dipole formulas and Addendum-F algebra; no charged-particle trajectory content.",0.5804
physics,12,1,Electric Flux,b,field_lines,widget,gap_gaussian_surface,high,"Chunks 1, 4, 6, 10 are figure blocks for Fig 1.10 coaxial Gaussian cylinder, Fig 1.11 pillbox and Fig 1.13 parallel sheets; Gaussian surfaces are outside field_lines.",0.5886
physics,12,1,Electric Dipole and Its Field,b,field_lines,widget,gap_dipole_field_geometry,high,"Chunks 2, 6, 10 are the Fig 1.4/1.5/1.6 blocks and the axial/equatorial derivations that work them point by point.",0.7087
physics,12,1,Torque and Potential Energy of a Dipole in a Uniform Electric Field,b,field_lines,widget,gap_dipole_in_uniform_field,med,"Fig 1.6 (dipole at theta to uniform E, +qE/-qE couple, 2a sin theta) appears in chunks 1, 2, 9; the rest is tau=pE sin theta algebra and numerics.",0.7566
physics,12,1,Electric Field due to Continuous Charge Distribution,b,field_lines,widget,gap_charge_distribution_integration,high,"Chunks 1, 3, 7 carry Fig 1.8 (disc with ring element dr) and Fig 1.9 (arc element dq = lambda R d-theta) worked through the integral.",0.6899
physics,12,1,Gauss's Law and Its Applications,b,field_lines,widget,gap_gaussian_surface,high,"Chunks 3, 7, 10 give Fig 1.10 cylinder, Fig 1.11 pillbox and Fig 1.12 shell with two dashed Gaussian spheres; registry excludes Gaussian surfaces.",0.5986
physics,12,2,Electrostatic Potential and Potential Difference,b,field_lines,widget,gap_equipotential_surfaces,med,"Fig 2.1 (surfaces A at V and B at V+dV with perpendicular dl and E) appears in chunks 3, 4, 8; field_lines explicitly cannot draw an equipotential map.",0.6627
physics,12,2,Equipotential Surfaces and Electric Field Relation,b,field_lines,widget,gap_equipotential_surfaces,high,"Chunks 1, 4, 7 are all Fig 2.1 — two closely spaced equipotential surfaces with the perpendicular dl and field vector — driving the E = -dV/dr derivation.",0.6449
physics,12,2,Electrostatic Potential Energy of Charge System,b,field_lines,widget,none_symbolic,med,"Dominated by pairwise-U algebra and worked triangle/square assembly numericals (U = -0.300 J, 0.098 J); only one trailing Fig 2.3 block.",0.6906
