subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
mathematics,11,0,"Logarithms: Definition, Properties and Change of Base",j,none_symbolic,none,UNVERIFIED_no_chunks,low,"Chunk list is NONE; no retrieved text exists for this concept, so nothing can be verified either way.",
mathematics,11,1,Sets and Their Representations,j,none_symbolic,none,gap_venn_diagram,high,"Chunk 5a6b5051 carries a full figure page: 'Figure 1.1 Concentric ovals nesting N, Z, Q, R, with the irrationals T as the shaded band' — a drawn set-containment diagram no widget can render.",0.5824
mathematics,11,1,"Types of Sets: Empty, Finite, Infinite and Equal Sets",j,none_symbolic,none,none_symbolic,med,"Chunks are decision rules and worked classifications (bounded vs unbounded universes, polynomial root counts, n=99/11 answers); the only figure present is the number-set ovals belonging to the representations subtopic.",0.6632
mathematics,11,1,"Subsets, Power Set and Universal Set",j,none_symbolic,none,gap_subset_lattice,high,"Chunk f49a8bd4 is the figure page for 'Figure 1.2 The eight subsets of p, q, r by size, each joined to those one element larger' — a drawn subset lattice with binomial counts, not any registered widget.",0.7131
mathematics,11,1,Intervals as Subsets of the Real Line,j,none_symbolic,none,gap_number_line,med,"Chunk f46b2324 ends on 'Figure 1.9 The nested bars A1, A2, A3 with their common core [2, 5] shaded beneath'; the rest is bracket rules and interval algebra, so the drawn object is interval bars on a line.",0.5604
mathematics,11,1,"Set Operations: Union, Intersection and Difference",j,venn_tree,widget,gap_venn_diagram,med,"Chunks teach by shading: 'draw the four-region Venn once and shade', 'a circle A sitting inside circle B', region lists R1-R8, plus the Figure 1.4 caption for two intervals shaded on a line.",0.5926
mathematics,11,1,Symmetric Difference of Sets,j,none_symbolic,none,none_symbolic,med,"[passes split: gap_venn_diagram vs none_symbolic; demoted, conservative side kept] The retrieved treatment is an element-chase proof that (A∪B)−(A∩B) = (A−B)∪(B−A) plus difference identities and region lists written as text; no figure caption for a symmetric-difference picture appears.",0.6698
mathematics,11,1,Complement of a Set and De Morgan's Laws,j,none_symbolic,none,none_symbolic,med,"[passes split: gap_venn_diagram vs none_symbolic; demoted, conservative side kept] Chunks give the law tables and element-chasing derivations; the book itself says 'Shading a Venn diagram illustrates it, but element-chasing proves it' and 'shading cannot help you here'. No figure in the ten.",0.6537
mathematics,11,1,Laws of Algebra of Sets and Set Identities,j,none_symbolic,none,none_symbolic,med,"Ten chunks are law tables (commutative, distributive, De Morgan), power-set laws and 'every step is an iff' containment proofs; no figure appears in any of them.",0.5654
mathematics,11,1,Cardinality Formulas for Unions of Sets,j,none_symbolic,none,gap_venn_diagram,high,"Chunk 308574f1 is the drawn figure page 'Figure 1.5 The eight regions of a three-circle Venn diagram, each one named', and 9ca7e6f3's Procedure A opens 'Draw three overlapping circles in a rectangle U'.",0.6624
mathematics,11,1,Word Problems Using Venn Diagrams,j,venn_tree,widget,gap_venn_diagram,high,"Chunk cf43f626 is the figure page 'Figure 1.3 The four regions of two overlapping circles: only A, only B, the overlap, neither'; 8cdd7a30 works every operation by choosing regions to shade.",0.6414
mathematics,11,2,Cartesian Product of Sets and Ordered Pairs,j,none_symbolic,none,gap_mapping_diagram,high,"Chunk 158e23e5 carries the figure page 'Figure 2.1 The six ordered pairs of A x B', drawing sets A {S,M,L} and B {Adrak, Elaichi} with each element pairing joined across.",0.6776
mathematics,11,2,"Relations: Definition, Domain, Range and Representation",j,none_symbolic,none,gap_mapping_diagram,high,"Chunk c54b314f is the drawn 'Figure 2.2' with columns A {1,2,3,4} and B {3,4,5,6,7} joined by y = x + 2 arrows, marking 7 as 'in codomain, not in range'; the text lists arrow diagrams as a standard form.",0.6413
mathematics,11,2,Domain and Range of Real Functions,j,none_symbolic,none,gap_extrema_curve,high,"Chunk 397d1062 is the figure page for 'Figure 2.5 y = x/(1 + x^2) peaks at 1/2 and bottoms at -1/2', plotting the curve with (1, 1/2) and (-1, -1/2) marked — not a line/parabola/sine/exponential/reciprocal.",0.6593
mathematics,11,2,Standard Real Functions and Their Graphs,j,xy_plot,widget,gap_piecewise_plot,high,"Chunk e59dc189 has 'Figure 2. Graphs of six of the seven standard functions', with open/filled dots on the signum and greatest-integer graphs; V, staircase and jumps are outside the widget's five curve kinds.",0.5841
mathematics,11,2,Algebra of Real Functions,j,none_symbolic,none,none_symbolic,med,"On-topic text is formulas only: (f+g), (fg), (f/g) rules and Dom(f) ∩ Dom(g) minus zeros of g, with the (-2,2) worked example; the figures in the retrieval belong to the graph and transformation sections.",0.5977
mathematics,11,2,Even and Odd Functions,j,none_symbolic,none,gap_even_odd_symmetry,high,"[both passes GAP, names differed: gap_even_odd_symmetry / gap_parity_symmetry] Chunk 4591001a draws 'Figure 3: Half the plotting' — the even x^4-3x^2+1 arc reflected in the y-axis and the odd x|x| half-turned about the origin, with axes; neither curve is expressible by the widget.",0.7405
mathematics,11,2,Periodic Functions and Their Periods,j,none_symbolic,none,gap_piecewise_plot,high,Chunk 356d8285 carries 'Figure 4: The sawtooth y = {x} repeats exactly on every unit band' with the greatest-integer staircase drawn beneath it — step/sawtooth graphs the widget cannot draw.,0.6456
mathematics,11,2,Number of Relations and Functions Between Finite Sets,j,none_symbolic,none,none_symbolic,med,"Chunks are counting derivations and tables: 2^pq relations, q^p functions, 2^(n^2-n) reflexive, Bell numbers B3=5, B4=15, and yes/no-per-pair arguments; no figure among them.",0.6249
mathematics,11,2,Functional Equations,j,none_symbolic,none,none_symbolic,high,"Pure algebra across the chunks: substitute x=y=0, the involution pairing that solves f(x)+2f(1/x)=3x, recursion f(x+1)=f(x)+3+x summed to a closed form, and the four standard-form table. No figure.",0.5392
mathematics,11,3,"Measurement of Angles: Degrees, Radians and Arc Length",j,unit_circle_trig,widget,gap_circle_sector,high,"Three captioned figures are rendered in the chunks: Fig 3.1 a circle whose arc equals the radius, Fig 3.2 initial/terminal side rotation, Fig 3.3 a sector with two radii, arc s=r-theta and central angle.",0.6025
mathematics,11,3,"Trigonometric Functions: Domain, Range and Signs in Quadrants",j,unit_circle_trig,widget,gap_unit_circle,high,"Fig 3.4 is drawn: the unit circle with P(a,b) in Q II, a=cos, b=sin; Fig 3.5 draws the four quadrants labelled A-S-T-C. No registered widget draws a circle with a marked point.",0.7398
mathematics,11,3,"Standard Values, Even-Odd Nature and Allied Angles",j,none_symbolic,none,gap_unit_circle,med,"Fig 3.7 is rendered: one point on the unit circle with its three reflections P1(180-t), P2(180+t), P3(360-t). Fig 3.6 (45-45-90 and 30-60-90 triangles) competes as a second picture.",0.6470
mathematics,11,3,Graphs and Periodicity of Trigonometric Functions,j,xy_plot,widget,gap_trig_graph,high,"The chunks render Fig 3.8 sine, Fig 3.9 sin x / 2 sin x / sin 2x together, Fig 3.10 cosine and Fig 3.11 tangent with vertical asymptotes; cos and tan are outside xy_plot's single sine kind.",0.7726
