subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
physics,11,3,Projectile Motion,b,motion_path,widget,projectile_motion,med,"Figure 3.4 is one ideal parabola from origin O to B on level ground, u at angle theta, apex H with v_y=0, range R. Matches the widget's single-parabola level-ground case. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.6099
physics,11,4,"Connected Bodies, Pulleys and Constraint Relations",b,free_body_forces,widget,process_flow,med,"'The universal recipe for connected bodies: 1. Decide the direction... 5. Solve', plus Addendum A 'Method 1. Assign coordinates ... 4. Write sum F = ma'. Chain of 4-5 named steps.",0.5988
physics,11,5,Various Forms of Energy and Law of Conservation of Energy,b,free_body_forces,widget,process_flow,med,"Chunks 5/7 give a named chain: 'chemical energy (coal) -> heat energy -> kinetic energy (steam turbine) -> electrical energy -> light + heat', plus a 3-step tracking procedure.",0.7166
physics,11,6,Rolling Motion,b,motion_path,widget,data_table_trend,med,"Chunk 6 'The master table (the smaller K2/R2, the faster the body)': sphere 2/5, disc 1/2, shell 2/3, ring 1 - 4 rows, monotone. Its third column is symbolic and must be dropped.",0.6505
physics,11,7,Gravitational Potential,b,free_body_forces,widget,xy_plot,med,"Figure 7.8 is actually plotted with r(m)/U(J) axes as a hyperbola below the axis = reciprocal a/x, domain r>0. But the plotted quantity is U, not V; V=-GM/r only shares the shape.",0.6426
physics,11,7,Gravitational Potential Energy,b,free_body_forces,widget,xy_plot,med,"Figure 7.8 is an actual plot, axes r (m) vs U (J), curve U = -GMm/r 'a hyperbola lying entirely below the axis' — exactly xy_plot's reciprocal a/x+c, domain r>0. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.6495
physics,11,8,Young's Modulus,b,free_body_forces,widget,data_table_trend,med,"Top chunk is the book's 'Representative elastic constants' table: 7 material rows (Steel..Rubber) x 4 numeric columns Y/eta/B/nu — within data_table_trend's 8-row, 4-column caps. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.6247
physics,11,10,Newton's Law of Cooling,b,free_body_forces,widget,xy_plot,med,"Figure 10.5 is actually plotted (axes t 0-60 min, T 20-100 C): 'temperature falls steeply at first and flattens as it approaches Ts' = decaying exponential a e^(bx)+c. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.6207
physics,11,11,Zeroth Law and Thermal Equilibrium,b,thermo_pv,widget,process_flow,med,"Figure 11.2 'A flow chart with five connected boxes: Thermal contact via diathermic wall -> Variables settle -> Equilibrium is transitive -> Define Temperature -> Thermometer'. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.7198
physics,11,11,Specific Heat Capacity and Mayer's Relation,b,thermo_pv,widget,data_table_trend,med,"Book prints 'Gas type | f | CV | CP | gamma' for Monoatomic/Diatomic/Polyatomic: 3 rows x 4 numeric cols (3,12.5,20.8,1.67 ...), all labels within caps, monotone in f. | ROUTING WITHHELD: physics-11 blind check scored 71% at high, under the 90% bar. Verdict kept, confidence demoted so it cannot route until re-measured against a harmonised labelled_figure/gap_* rule.",0.6769
