subject,class,chapter_order,chapter,concept,asset_slug,archetype_v2,v2_confidence,route,route_reason
bio,11,1,The Living World,Taxonomic Hierarchy: Categories from Kingdom to Species,bio11-ch1-taxonomic-hierarchy--categories-from-kingdom-to-species,process_flow,med,svg,"archetype_v2=process_flow but v2_confidence=med; med leans none, so author the schematic"
bio,11,2,Biological Classification,Archaebacteria: Groups and Extreme Habitats,bio11-ch2-archaebacteria--groups-and-extreme-habitats,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,2,Biological Classification,"Fungal Structure, Nutrition and Modes of Reproduction",bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,2,Biological Classification,Kingdom Monera: Bacterial Forms and Nutritional Types,bio11-ch2-kingdom-monera--bacterial-forms-and-nutritional-types,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,2,Biological Classification,Kingdom Protista: Major Groups and Their Features,bio11-ch2-kingdom-protista--major-groups-and-their-features,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,2,Biological Classification,Kingdoms Plantae and Animalia: Defining Features,bio11-ch2-kingdoms-plantae-and-animalia--defining-features,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,2,Biological Classification,Lichens and Mycorrhizal Associations,bio11-ch2-lichens-and-mycorrhizal-associations,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,2,Biological Classification,Viroids and Prions,bio11-ch2-viroids-and-prions,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,2,Biological Classification,"Viruses: Structure, Composition and Diseases",bio11-ch2-viruses--structure--composition-and-diseases,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,3,Plant Kingdom,"Algae: Chlorophyceae, Phaeophyceae and Rhodophyceae",bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae,none_symbolic,med,illustration,in illustration-manifest.csv
bio,11,3,Plant Kingdom,Bryophytes: Liverworts and Mosses,bio11-ch3-bryophytes--liverworts-and-mosses,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,3,Plant Kingdom,Economic Importance of Algae and Their Products,bio11-ch3-economic-importance-of-algae-and-their-products,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,3,Plant Kingdom,"Gymnosperms: Characteristics, Structure and Examples",bio11-ch3-gymnosperms--characteristics--structure-and-examples,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Class Amphibia and Reptilia,bio11-ch4-class-amphibia-and-reptilia,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Class Aves and Mammalia,bio11-ch4-class-aves-and-mammalia,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,"Class Cyclostomata, Chondrichthyes and Osteichthyes",bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,"Coelom: Acoelomate, Pseudocoelomate and Coelomate Organisation",bio11-ch4-coelom--acoelomate--pseudocoelomate-and-coelomate-organisati,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,4,Animal Kingdom,Phylum Annelida,bio11-ch4-phylum-annelida,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Arthropoda,bio11-ch4-phylum-arthropoda,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Aschelminthes (Nematoda),bio11-ch4-phylum-aschelminthes--nematoda,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Chordata: General Characters and Subphyla,bio11-ch4-phylum-chordata--general-characters-and-subphyla,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,4,Animal Kingdom,Phylum Coelenterata and Ctenophora,bio11-ch4-phylum-coelenterata-and-ctenophora,none_symbolic,med,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Echinodermata and Hemichordata,bio11-ch4-phylum-echinodermata-and-hemichordata,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Mollusca,bio11-ch4-phylum-mollusca,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Platyhelminthes,bio11-ch4-phylum-platyhelminthes,none_symbolic,high,illustration,in illustration-manifest.csv
bio,11,4,Animal Kingdom,Phylum Porifera,bio11-ch4-phylum-porifera,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,5,Morphology of Flowering Plants,Aestivation and Placentation Types,bio11-ch5-aestivation-and-placentation-types,labelled_figure,med,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,5,Morphology of Flowering Plants,"Families Malvaceae, Cruciferae, Leguminosae, Compositae and Graminae",bio11-ch5-families-malvaceae--cruciferae--leguminosae--compositae-and,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,5,Morphology of Flowering Plants,Family Solanaceae: Floral Characters and Floral Formula,bio11-ch5-family-solanaceae--floral-characters-and-floral-formula,gap_floral_diagram,med,svg,archetype_v2=gap_floral_diagram maps to no registry widget
bio,11,5,Morphology of Flowering Plants,"Fruit: Types, Pericarp and False Fruits",bio11-ch5-fruit--types--pericarp-and-false-fruits,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,5,Morphology of Flowering Plants,Inflorescence: Racemose and Cymose,bio11-ch5-inflorescence--racemose-and-cymose,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,5,Morphology of Flowering Plants,"Leaf: Types, Venation, Phyllotaxy and Modifications",bio11-ch5-leaf--types--venation--phyllotaxy-and-modifications,labelled_figure,high,svg,archetype_v2=labelled_figure maps to no registry widget
bio,11,5,Morphology of Flowering Plants,"Root System: Types, Regions and Modifications",bio11-ch5-root-system--types--regions-and-modifications,labelled_figure,med,illustration,in illustration-manifest.csv
bio,11,5,Morphology of Flowering Plants,Seed Structure in Dicots and Monocots,bio11-ch5-seed-structure-in-dicots-and-monocots,none_symbolic,low,illustration,in illustration-manifest.csv
bio,11,5,Morphology of Flowering Plants,Semi-technical Description: Floral Diagram and Floral Formula,bio11-ch5-semi-technical-description--floral-diagram-and-floral-formul,gap_floral_diagram,med,svg,archetype_v2=gap_floral_diagram maps to no registry widget
bio,11,5,Morphology of Flowering Plants,Stamen and Carpel Fusion: Cohesion and Adhesion,bio11-ch5-stamen-and-carpel-fusion--cohesion-and-adhesion,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
bio,11,5,Morphology of Flowering Plants,Stem: Modifications and Functions,bio11-ch5-stem--modifications-and-functions,none_symbolic,med,illustration,in illustration-manifest.csv
bio,11,5,Morphology of Flowering Plants,"The Flower: Floral Parts, Symmetry and Ovary Position",bio11-ch5-the-flower--floral-parts--symmetry-and-ovary-position,labelled_figure,high,illustration,in illustration-manifest.csv
bio,11,6,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Root,bio11-ch6-anatomy-of-dicot-and-monocot-root,labelled_figure,high,illustration,in illustration-manifest.csv
