asset_slug,concept_slug,sub,batch,subject,class_,chapter,concept,file,width,height,sha256,cleanup,note,ncert_labels,licence,source_url,author,status
bio11-ch16-structure-of-the-human-kidney-and-urinary-tract,bio11-ch16-structure-of-the-human-kidney-and-urinary-tract,,1,bio,11,Excretory Products and their Elimination,Structure of the Human Kidney and Urinary Tract,masters/bio11-ch16-structure-of-the-human-kidney-and-urinary-tract.png,1376,860,2350569132ea4d89011e1e8f5d11241e48ae1f776a82f87d9e2161dc76561c49,none,,"renal capsule, cortex, medulla, renal pyramid, renal papilla, minor calyx, major calyx, renal pelvis, ureter, renal artery, renal vein, hilum, column of Bertini, urinary bladder, urethra",generated-free,generated:gemini:batch1/bio11-ch16-structure-of-the-human-kidney-and-urinary-tract,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch15-structure-of-the-human-heart-and-its-chambers,bio11-ch15-structure-of-the-human-heart-and-its-chambers,,1,bio,11,Body Fluids and Circulation,Structure of the Human Heart and Its Chambers,masters/bio11-ch15-structure-of-the-human-heart-and-its-chambers.png,896,560,3b28878a4cd6f10cc6bc4d65e5826980d632aaab180a9b9b22c09a9956e89893,none,,"superior vena cava, inferior vena cava, right atrium, tricuspid valve, right ventricle, pulmonary artery, pulmonary semilunar valve, pulmonary vein, left atrium, bicuspid valve, left ventricle, aorta, aortic semilunar valve, chordae tendineae, papillary muscle, interventricular septum, interatrial septum, SA node, AV node, bundle of His, Purkinje fibre, pericardium",generated-free,generated:gemini:batch1/bio11-ch15-structure-of-the-human-heart-and-its-chambers,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,,1,bio,11,Structural Organisation in Animals,"Cockroach: Circulatory, Respiratory and Excretory Systems",masters/bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems.png,896,560,b466e50b8b2ac4053aa50d1c5a267ffa4efa6a1c1fe4629607e76185641688e7,none,,"heart, chamber, alary muscle, haemocoel, ostium, spiracle, trachea, tracheole, Malpighian tubule, fat body, uricose gland, nephrocyte",generated-free,generated:gemini:batch1/bio11-ch7-cockroach--circulatory--respiratory-and-excretory-systems,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-the-flower--floral-parts--symmetry-and-ovary-position,bio11-ch5-the-flower--floral-parts--symmetry-and-ovary-position,,1,bio,11,Morphology of Flowering Plants,"The Flower: Floral Parts, Symmetry and Ovary Position",masters/bio11-ch5-the-flower--floral-parts--symmetry-and-ovary-position.png,952,595,830dac04a3eb2e2356ad660e27a2536fd6ec5837969285aeb5fbfd59932ddf8a,none,,"pedicel, thalamus, sepal, petal, stamen, filament, anther, carpel, stigma, style, ovary, ovule, hypogynous, perigynous, epigynous",generated-free,generated:gemini:batch1/bio11-ch5-the-flower--floral-parts--symmetry-and-ovary-position,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-cockroach--nervous-system-and-reproduction,bio11-ch7-cockroach--nervous-system-and-reproduction,,1,bio,11,Structural Organisation in Animals,Cockroach: Nervous System and Reproduction,masters/bio11-ch7-cockroach--nervous-system-and-reproduction.png,896,560,8e261d65d554cc4d80c559eb3fce09affcfc8128ddc25f7daf021730370d0dac,strip_labels,captions under bodies,"supra-oesophageal ganglion, sub-oesophageal ganglion, circum-oesophageal connective, thoracic ganglion, abdominal ganglion, ventral nerve cord, testis, vas deferens, seminal vesicle, mushroom gland, ejaculatory duct, phallic gland, gonapophysis, ovary, ovariole, oviduct, spermatheca, collateral gland, ootheca",generated-free,generated:gemini:batch1/bio11-ch7-cockroach--nervous-system-and-reproduction,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-frog--external-morphology-and-digestive-system,bio11-ch7-frog--external-morphology-and-digestive-system,,1,bio,11,Structural Organisation in Animals,Frog: External Morphology and Digestive System,masters/bio11-ch7-frog--external-morphology-and-digestive-system.png,896,560,25559e06573c5bd401402a0eb6ec88722296b7c32b50b8688360a7e63bacf8ed,none,,"head, eye, nictitating membrane, tympanum, nostril, trunk, forelimb, hindlimb, webbed digit, cloacal aperture, buccal cavity, oesophagus, stomach, duodenum, ileum, rectum, cloaca, liver, gall bladder, pancreas, spleen, bile duct",generated-free,generated:gemini:batch1/bio11-ch7-frog--external-morphology-and-digestive-system,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-cockroach--morphology-and-digestive-system--a,bio11-ch7-cockroach--morphology-and-digestive-system,a,1,bio,11,Structural Organisation in Animals,Cockroach: Morphology and Digestive System,masters/bio11-ch7-cockroach--morphology-and-digestive-system--a.png,896,560,5c8a19826b6851a6d8d2120363437ca43be0a6bb0e9d67f4e39f635a6b00116c,none,,"head, compound eye, antenna, prothorax, mesothorax, metathorax, tegmen, hind wing, abdomen, anal cercus, anal style, coxa, femur, tibia, tarsus, mouth, pharynx, oesophagus, crop, gizzard, hepatic caeca, midgut, Malpighian tubule, ileum, colon, rectum, anus, salivary gland",generated-free,generated:gemini:batch1/bio11-ch7-cockroach--morphology-and-digestive-system--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-cockroach--morphology-and-digestive-system--b,bio11-ch7-cockroach--morphology-and-digestive-system,b,1,bio,11,Structural Organisation in Animals,Cockroach: Morphology and Digestive System,masters/bio11-ch7-cockroach--morphology-and-digestive-system--b.png,896,560,7634f7bf352c61b78045e8a3aef93248eaa8caf485afb9f57e6025a21cb18fce,strip_labels,labelled gut,"head, compound eye, antenna, prothorax, mesothorax, metathorax, tegmen, hind wing, abdomen, anal cercus, anal style, coxa, femur, tibia, tarsus, mouth, pharynx, oesophagus, crop, gizzard, hepatic caeca, midgut, Malpighian tubule, ileum, colon, rectum, anus, salivary gland",generated-free,generated:gemini:batch1/bio11-ch7-cockroach--morphology-and-digestive-system--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-frog--excretory--nervous-and-reproductive-systems--a,bio11-ch7-frog--excretory--nervous-and-reproductive-systems,a,1,bio,11,Structural Organisation in Animals,"Frog: Excretory, Nervous and Reproductive Systems",masters/bio11-ch7-frog--excretory--nervous-and-reproductive-systems--a.png,896,560,918dfc56a39109cb1068a06ce19363ce1d9a404a5ead7e34f5f5fc56edff9a59,none,,"kidney, ureter, urinary bladder, cloaca, adrenal gland, olfactory lobe, cerebral hemisphere, diencephalon, optic lobe, cerebellum, medulla oblongata, spinal cord, cranial nerve, testis, vasa efferentia, Bidder's canal, ovary, oviduct, ovisac, fat body",generated-free,generated:gemini:batch1/bio11-ch7-frog--excretory--nervous-and-reproductive-systems--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-frog--excretory--nervous-and-reproductive-systems--b,bio11-ch7-frog--excretory--nervous-and-reproductive-systems,b,1,bio,11,Structural Organisation in Animals,"Frog: Excretory, Nervous and Reproductive Systems",masters/bio11-ch7-frog--excretory--nervous-and-reproductive-systems--b.png,896,560,87c384e17d524af833dc269178ca5ec868aba3c437bbaca5e8828231c7bad72b,strip_labels,4 labels,"kidney, ureter, urinary bladder, cloaca, adrenal gland, olfactory lobe, cerebral hemisphere, diencephalon, optic lobe, cerebellum, medulla oblongata, spinal cord, cranial nerve, testis, vasa efferentia, Bidder's canal, ovary, oviduct, ovisac, fat body",generated-free,generated:gemini:batch1/bio11-ch7-frog--excretory--nervous-and-reproductive-systems--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch7-frog--circulatory-and-respiratory-systems--b,bio11-ch7-frog--circulatory-and-respiratory-systems,b,1,bio,11,Structural Organisation in Animals,Frog: Circulatory and Respiratory Systems,masters/bio11-ch7-frog--circulatory-and-respiratory-systems--b.png,896,560,1b5caaae52386535d10ca3db2ef87065ae3c9fb2e1b822d0f22b08f364c0dfa0,none,heart (--a) is on the SVG queue,"sinus venosus, right atrium, left atrium, ventricle, conus arteriosus, truncus arteriosus, carotid arch, systemic arch, pulmocutaneous arch, pulmonary vein, precaval vein, postcaval vein, lung, buccal cavity, glottis, skin",generated-free,generated:gemini:batch1/bio11-ch7-frog--circulatory-and-respiratory-systems--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--a,bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract,a,1,bio,11,Breathing and Exchange of Gases,Human Respiratory System: Structure of the Respiratory Tract,masters/bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--a.png,896,560,14733020bac67e7617cbd9750e06149ed8155d3416dd1e4b8d9a1a6ff4397a03,none,,"nostril, nasal cavity, pharynx, larynx, epiglottis, trachea, bronchus, bronchiole, alveolus, lung, pleura, pleural fluid, diaphragm, rib, capillary",generated-free,generated:gemini:batch1/bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--b,bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract,b,1,bio,11,Breathing and Exchange of Gases,Human Respiratory System: Structure of the Respiratory Tract,masters/bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--b.png,896,560,b4f4a84b6af42329a4c3cf4500a4c5748577577660f21fd5eb2dcdd53c8dbc03,none,,"nostril, nasal cavity, pharynx, larynx, epiglottis, trachea, bronchus, bronchiole, alveolus, lung, pleura, pleural fluid, diaphragm, rib, capillary",generated-free,generated:gemini:batch1/bio11-ch14-human-respiratory-system--structure-of-the-respiratory-tract--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch18-human-brain--forebrain-structure-and-functions--a,bio11-ch18-human-brain--forebrain-structure-and-functions,a,2,bio,11,Neural Control and Coordination,Human Brain: Forebrain Structure and Functions,masters/bio11-ch18-human-brain--forebrain-structure-and-functions--a.png,896,560,7c83c6f0b47281ad6002e259e2db5c94139fdebd8bd13e5b014fd080c82157eb,none,,"cerebrum, frontal lobe, parietal lobe, temporal lobe, occipital lobe, cerebral cortex, corpus callosum, thalamus, hypothalamus, olfactory lobe, pituitary gland, central sulcus",generated-free,generated:gemini:batch2/bio11-ch18-human-brain--forebrain-structure-and-functions--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch18-human-brain--forebrain-structure-and-functions--b,bio11-ch18-human-brain--forebrain-structure-and-functions,b,2,bio,11,Neural Control and Coordination,Human Brain: Forebrain Structure and Functions,masters/bio11-ch18-human-brain--forebrain-structure-and-functions--b.png,896,560,680eacb8402aab1b6a6c51e9861d1839a52ff6793c9c8a942337adace1fbc4ff,none,Gemini text-removal edit,"cerebrum, frontal lobe, parietal lobe, temporal lobe, occipital lobe, cerebral cortex, corpus callosum, thalamus, hypothalamus, olfactory lobe, pituitary gland, central sulcus",generated-free,generated:gemini:batch2/bio11-ch18-human-brain--forebrain-structure-and-functions--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch18-human-brain--midbrain-and-hindbrain,bio11-ch18-human-brain--midbrain-and-hindbrain,,2,bio,11,Neural Control and Coordination,Human Brain: Midbrain and Hindbrain,masters/bio11-ch18-human-brain--midbrain-and-hindbrain.png,896,560,1870fdae4c4d3c8daca6e6d9b8854926a70aadff888264fe6e2b8e05d831037e,none,,"midbrain, corpora quadrigemina, cerebral peduncle, cerebral aqueduct, pons, cerebellum, arbor vitae, medulla oblongata, brain stem, fourth ventricle, spinal cord",generated-free,generated:gemini:batch2/bio11-ch18-human-brain--midbrain-and-hindbrain,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--a,bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum,a,2,bio,11,Locomotion and Movement,"Axial Skeleton: Skull, Vertebral Column, Ribs and Sternum",masters/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--a.png,896,560,6936ab94236e90e16f146bce183f3ecdc00f00ef40f04ee8211343fee42a7fe7,none,,"cranium, facial bone, mandible, hyoid, cervical vertebra, thoracic vertebra, lumbar vertebra, sacrum, coccyx, atlas, true rib, false rib, floating rib, sternum, costal cartilage, intervertebral disc",generated-free,generated:gemini:batch2/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--b,bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum,b,2,bio,11,Locomotion and Movement,"Axial Skeleton: Skull, Vertebral Column, Ribs and Sternum",masters/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--b.png,896,560,7ac04a5d31224d757744ab0b9241949f204ebbe3a07b62f70a724ad71fdee959,none,,"cranium, facial bone, mandible, hyoid, cervical vertebra, thoracic vertebra, lumbar vertebra, sacrum, coccyx, atlas, true rib, false rib, floating rib, sternum, costal cartilage, intervertebral disc",generated-free,generated:gemini:batch2/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--c,bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum,c,2,bio,11,Locomotion and Movement,"Axial Skeleton: Skull, Vertebral Column, Ribs and Sternum",masters/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--c.png,896,560,bd7f27b506ca972afe7c1d243c8b75ff70e6e2dd15b8aac20eee60b29615c028,none,,"cranium, facial bone, mandible, hyoid, cervical vertebra, thoracic vertebra, lumbar vertebra, sacrum, coccyx, atlas, true rib, false rib, floating rib, sternum, costal cartilage, intervertebral disc",generated-free,generated:gemini:batch2/bio11-ch17-axial-skeleton--skull--vertebral-column--ribs-and-sternum--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--a,bio11-ch17-appendicular-skeleton--girdles-and-limb-bones,a,2,bio,11,Locomotion and Movement,Appendicular Skeleton: Girdles and Limb Bones,masters/bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--a.png,896,560,8c2dcfc15efcc017aa950f3ecc8b687d84c7b7c34384ffbdb118167f61fd5468,none,,"clavicle, scapula, glenoid cavity, humerus, radius, ulna, carpal, metacarpal, phalanx, ilium, ischium, pubis, acetabulum, femur, patella, tibia, fibula, tarsal, metatarsal",generated-free,generated:gemini:batch2/bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--b,bio11-ch17-appendicular-skeleton--girdles-and-limb-bones,b,2,bio,11,Locomotion and Movement,Appendicular Skeleton: Girdles and Limb Bones,masters/bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--b.png,896,560,d7108ffd19ef48e1e727b342872bcfc26c9df7002ad7d4dc3da6279185b56345,none,,"clavicle, scapula, glenoid cavity, humerus, radius, ulna, carpal, metacarpal, phalanx, ilium, ischium, pubis, acetabulum, femur, patella, tibia, fibula, tarsal, metatarsal",generated-free,generated:gemini:batch2/bio11-ch17-appendicular-skeleton--girdles-and-limb-bones--b,"MonkLearning (AI-generated, Gemini)",accepted
bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--a,bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands,a,2,bio,12,Human Reproduction,"Male Reproductive System: Testis, Ducts and Accessory Glands",masters/bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--a.png,896,560,a17262da7734e1ab13338a7f566c05eb535aa430c824dea84632f1f43290d1c4,none,,"testis, scrotum, seminiferous tubule, Leydig cell, Sertoli cell, epididymis, vas deferens, seminal vesicle, ejaculatory duct, prostate gland, bulbourethral gland, urethra, penis, urinary bladder",generated-free,generated:gemini:batch2/bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--a,"MonkLearning (AI-generated, Gemini)",accepted
bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--b,bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands,b,2,bio,12,Human Reproduction,"Male Reproductive System: Testis, Ducts and Accessory Glands",masters/bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--b.png,896,560,16305cd6b887ba584fe86eddc860d2c02be144c8229c5257e4bee90895f5bb25,none,,"testis, scrotum, seminiferous tubule, Leydig cell, Sertoli cell, epididymis, vas deferens, seminal vesicle, ejaculatory duct, prostate gland, bulbourethral gland, urethra, penis, urinary bladder",generated-free,generated:gemini:batch2/bio12-ch2-male-reproductive-system--testis--ducts-and-accessory-glands--b,"MonkLearning (AI-generated, Gemini)",accepted
bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--a,bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma,a,2,bio,12,Human Reproduction,"Female Reproductive System: Ovary, Oviduct, Uterus and Mammary Gland",masters/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--a.png,896,560,9577a3e0bcd8033bc2368c925d75ac87ea50d65fe9735226db33c7aa24777e97,none,,"ovary, fallopian tube, infundibulum, fimbriae, ampulla, isthmus, uterus, fundus, cervix, vagina, endometrium, myometrium, perimetrium, mammary lobe, alveolus, mammary duct, lactiferous duct, nipple",generated-free,generated:gemini:batch2/bio12-ch2-female-reproductive-system--ovary--oviduct--uterus-and-mamma--a,"MonkLearning (AI-generated, Gemini)",accepted
