subject,class_level,chapter_order,concept,exams,archetype,build_class,archetype_v2,v2_confidence,v2_evidence,v2_top_sim
biology,11,1,Binomial Nomenclature: Rules and Conventions,n,none_symbolic,none,none_symbolic,high,"Chunks are naming rules and worked corrections: genus capital, epithet lowercase, italic/underlined, author in Roman, ICBN vs ICZN. Pure convention text ('felis Catus' -> Felis catus); nothing spatial to draw.",0.6216
biology,11,1,Biodiversity and the Need for Classification,n,data_table_trend,widget,none_symbolic,high,Chunks give the brinjal-many-names analogy plus definitions of biodiversity/nomenclature/taxonomy. The one table (four species concepts) has long prose cells far over data_table_trend's 8-char limit; no numbers.,0.6195
biology,11,1,Characteristics of Living Organisms,n,none_symbolic,none,none_symbolic,med,"Definitions of growth, reproduction, metabolism, consciousness; 'MCC defines, G&R decline'. Figure 1.1 is only a two-column pass/fail word graphic (crossed-out text), which the board already renders as text.",0.566
biology,11,1,Concept of Species and Taxon,n,none_symbolic,none,none_symbolic,med,"Chunks are the taxon-vs-category abstract/concrete test and definitions of the seven categories. A hierarchy pyramid figure is described, but the teaching content here is definitional wording, not a drawn form.",0.5318
biology,11,1,"Taxonomic Keys, Flora, Manuals and Monographs",n,none_symbolic,none,gap_classification_tree,med,"Chunks build a dichotomous key of couplets ('Wings absent...Grasshopper / Wings present...go to 2') - a branching decision tree, which process_flow explicitly cannot draw. Flora/manuals/monographs were not retrieved.",0.5353
biology,11,1,"Taxonomy, Systematics and Classification: Scope and Definitions",n,data_table_trend,widget,none_symbolic,high,"Chunks are one-line definitions (classification, taxonomy, systematics, numerical/cyto/chemotaxonomy) and term-nesting. A dendrogram is mentioned in passing only; no values, no drawable structure.",0.6107
biology,11,2,"Classification Systems: Two-Kingdom, Five-Kingdom and Three Domains",n,data_table_trend,widget,none_symbolic,med,"Chunks are prose on Whittaker's five criteria, the system's limitations (heterogeneous Monera/Protista, viruses excluded) and Woese's domains. The 'master comparison table' cells are long prose, not short cells.",0.6394
biology,11,2,Kingdom Fungi: Classification into Four Classes,n,data_table_trend,widget,labelled_figure,med,Figure 2.5 is described: a branching hyphal network with an inset contrasting a septate hypha vs an aseptate coenocytic hypha with many nuclei. Diagnosis is structural (ascus vs basidium); the class table is prose.,0.6679
biology,11,3,"Classification Systems: Artificial, Natural and Phylogenetic",n,data_table_trend,widget,none_symbolic,high,"Chunks define the three systems and name proponents (Linnaeus androecium, Bentham & Hooker, Engler & Prantl). The table's cells are sentence-length prose; no numeric or short-category data anywhere.",0.7196
biology,11,3,Heterospory and the Origin of the Seed Habit,n,data_table_trend,widget,labelled_figure,med,"Figure 3.3 is spelled out: Dryopteris sporophyte with rhizome, fronds and sori beside a heart-shaped prothallus bearing antheridia/archegonia, 'Label which is 2n and which is n' - a drawn morphology plate.",0.6954
